nm_name,st_name,nm_city,st_address,user_name,user_id,is_local_guide,review_count,rating_star,photo_count,time_num,time_unit,month_ago,comment,create_date,update_date
寧夏夜市,方家雞肉飯,台北市,大同區寧夏路060攤位號 ,Sean Chan,106316123869290560331,FALSE,5.0,4,12.0,16,小時,0.03333333333333333,排隊之後，我們沒等多久就坐在了攤位前面。 雞肉飯和紅燒豆腐的擺盤非常低調。這兩道菜的濃鬱味道確實讓我們驚嘆不已。 雞絲稍微有點乾，不過還可以。我本來希望豆腐不要浸在甜醬裡，而是嚐嚐燉豆腐的味道，但這就是它的上菜方式。 我們都很喜歡蛋捲中濃鬱的菜圃香味。 滷肉飯令人垂涎欲滴，味道不錯。我們還無法進行任何比較，因為這是我們第一次在其他地方嘗試各種版本。 冬瓜蛤仔排骨湯也不錯，可以嚐到新鮮蛤蜊的甜味。 總的來說，這個攤位非常值得推薦，如果你去寧夏夜市的話一定要去試試。,2025-05-03,2025-05-04
寧夏夜市,圓環邊蚵仔煎,台北市,大同區寧夏路46號 ,Joyce Lim,114306834103372851451,TRUE,679.0,4,5.0,11,小時,0.03333333333333333,排隊用餐的人非常長，週五晚上 7 點 30 分左右就有大約 50 人。為了避免排長隊，可以訂購外賣，大約 45 分鐘後回來取餐，等待時可以去其他攤位吃飯，不會浪費時間。小份95元，大概6個中等大小的生蠔，還算新鮮。可以站著在附近牆壁上的空環邊孔享用外帶食品。這不是新加坡人習慣的蚵仔煎，我更喜歡新加坡式的蚵仔煎，更脆，更有蛋味，沒有捲心菜。但這種台灣菜也不錯，只是不值得排那麼長的隊伍才能在店裡用餐。,2025-05-03,2025-05-04
寧夏夜市,圓環邊蚵仔煎,台北市,大同區寧夏路46號 ,Yuichi Matsuo,116617735268508186826,TRUE,1.0,5,1.0,1,天,0.06666666666666667,,2025-05-03,2025-05-04
寧夏夜市,圓環邊蚵仔煎,台北市,大同區寧夏路46號 ,Ping Lo,116173123126592155982,TRUE,53.0,5,4.0,1,天,0.06666666666666667,,2025-05-03,2025-05-04
寧夏夜市,李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,台北市,大同區寧夏路22之9號 ,Bambino,102639540639580255001,TRUE,31.0,5,35.0,13,小時,0.03333333333333333,親子友善廁所，帶小孩很方便，有機會再來吃。,2025-05-03,2025-05-04
寧夏夜市,李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,台北市,大同區寧夏路22之9號 ,小嘰嘰,117654188152861005512,TRUE,69.0,1,39.0,14,小時,0.03333333333333333,爆幹難吃,2025-05-03,2025-05-04
寧夏夜市,李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,台北市,大同區寧夏路22之9號 ,廖寶鳳,109717507966768400212,FALSE,0.0,5,0.0,18,小時,0.03333333333333333,三寶超值，分量剛好，又能一次吃到三種口味，推爆！,2025-05-03,2025-05-04
寧夏夜市,李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,台北市,大同區寧夏路22之9號 ,類,103340589380052215729,TRUE,38.0,5,2.0,1,天,0.06666666666666667,好吃謝謝,2025-05-03,2025-05-04
寧夏夜市,李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,台北市,大同區寧夏路22之9號 ,JYUN WEI HUNG,102618457814128284556,FALSE,2.0,5,2.0,1,天,0.06666666666666667,李掌伯的臭豆腐一咬爆香，裡面還有湯汁！臭豆腐口感確實跟外面賣的不一樣比較能吃到豆腐不像外面都是空心的。,2025-05-03,2025-05-04
寧夏夜市,寧夏夜市-爆漿脆皮魷魚,台北市,大同區寧夏夜市第89攤 ,lindy chuang,117279971872824683073,TRUE,16.0,5,40.0,1,天,0.06666666666666667,再次回購，難忘的美食,2025-05-03,2025-05-04
寧夏夜市,寧夏夜市-爆漿脆皮魷魚,台北市,大同區寧夏夜市第89攤 ,C L,115621632197243827971,TRUE,32.0,2,27.0,1,天,0.06666666666666667,第一口不錯，接下來就滿膩的,2025-05-03,2025-05-04
